ssn,phone,city,maritalstatus,fullname,birthdate
216-51-1025,(09)-5580-7527,Memphis (Tennessee),Single,Marco Goodman,1988-06-30
116-51-1291,(07)-2905-7818,Buffalo (New York),Married,Roxanne Kerns,1974-11-27
177-44-1159,(09)-5062-6922,Detroit (Michigan),Single,Regina Lauritzen,1969-07-27
116-81-1883,(03)-1350-7402,Chandler (Arizona),Divorced,Howard Samsel,1989-11-26
429-83-1156,(09)-5794-9470,Scottsdale (Arizona),Married,Gabriel Kingston,1978-05-05
381-54-1605,(05)-5330-5036,Albuquerque (New Mexico),Single,Carrie Bigelow,1982-05-02
224-99-1262,(05)-3339-3262,Milwaukee (Wisconsin),Married,Nichelle Thaxton,1988-01-02
301-25-1394,(07)-4370-8507,Houston (Texas),Single,Joaquin Yap,1972-11-12
323-51-1535,(03)-5179-6500,Las Vegas (Nevada),Married,Yu Kittredge,1978-01-22
216-85-1367,(07)-2905-9114,Saint Paul (Minnesota),Divorced,Tania Raley,1973-12-16
166-82-1605,(09)-6473-4208,Irvine (California),Married,Demetrius Fry,1975-03-27
116-54-1259,(04)-3468-6535,San Bernardino (California),Divorced,Jake Vansant,1980-02-01
224-55-1496,(03)-8685-6502,Aurora (Colorado),Common-Law,Tamesha Lawlor,1983-10-02
177-44-1054,(08)-5902-5867,El Paso (Texas),Single,Millie Lasher,1976-03-29
320-54-1856,(04)-3858-1079,Houston (Texas),Divorced,Lilly Macdonald,1983-09-07
144-25-1448,(09)-5179-2725,Durham (North Carolina),Divorced,Gerald Glynn,1985-07-07
144-54-1840,(03)-7508-9910,Orlando (Florida),Single,Felipe Malpass,1982-06-08
224-25-1891,(05)-9333-5713,Las Vegas (Nevada),Divorced,Wallace Lowery,1971-12-19
216-82-1048,(04)-1199-9661,Las Vegas (Nevada),Married,Pedro Welch,1972-05-07
116-93-1394,(05)-9333-4606,Tampa (Florida),Married,Betty Fitzhugh,1973-08-12
279-81-1912,(08)-2905-8942,Winston–Salem (North Carolina),Single,Lauren Seifert,1977-10-07
425-82-1851,(03)-5794-3345,Aurora (Colorado),Married,Livia Castillo,1972-02-26
339-74-1545,(08)-4858-6766,Atlanta (Georgia),Married,Leland Scully,1975-07-25
368-83-1054,(05)-7508-4870,Omaha (Nebraska),Married,Elton Castellanos,1975-10-08
339-82-1442,(09)-5854-7191,Henderson (Nevada),Single,Sondra Pike,1980-06-25
391-55-1442,(05)-6865-1079,Baton Rouge (Louisiana),Divorced,Laquita Murrin,1984-04-21
177-23-1359,(07)-5854-6781,St. Louis (Missouri),Single,Gigi Ragland,1977-01-27
238-81-1227,(03)-9999-9910,Laredo (Texas),Common-Law,Ronald Signorelli,1977-06-13
287-74-1145,(03)-5794-9130,Fremont (California),Single,Wilson Upshaw,1976-02-21
429-46-1084,(08)-3949-6766,Boston (Massachusetts),Common-Law,Dave Rudy,1985-05-12
323-51-1423,(08)-6865-3563,Madison (Wisconsin),Married,Doris Mcginnis,1969-04-21
425-31-1332,(04)-5502-6629,Anaheim (California),Single,Mariano Silvestri,1984-09-29
144-51-1442,(05)-6975-7286,Anchorage (Alaska),Single,Dayle Nagle,1990-02-11
381-55-1057,(07)-6812-6922,Gilbert (Arizona),Divorced,Dorris Bogart,1983-12-04
323-32-1866,(07)-8435-5560,St. Petersburg (Florida),Divorced,Shawna Newson,1973-09-08
391-18-1612,(05)-5062-1764,Chandler (Arizona),Divorced,Melani Pompa,1978-07-17
144-30-1733,(05)-6975-2611,Miami (Florida),Single,Kanesha Moser,1982-10-05
339-74-1312,(05)-5854-4634,San Bernardino (California),Common-Law,Jennie Lindstrom,1984-09-25
216-82-1235,(09)-3858-4339,Irving (Texas),Single,Sylvester Fuentes,1978-01-23
238-51-1676,(08)-3320-1478,Jersey City (New Jersey),Divorced,Jon Valadez,1979-06-10
381-55-1856,(08)-4286-4606,Seattle (Washington),Divorced,Nicholas Thrift,1975-07-12
381-30-1620,(07)-6191-4176,Mesa (Arizona),Common-Law,Arleen Tunnell,1976-12-15
238-51-1506,(07)-3949-7887,Colorado Springs (Colorado),Single,Bonnie Schroyer,1976-06-24
429-32-1856,(08)-2926-7659,St. Petersburg (Florida),Common-Law,Leann Leeper,1989-04-19
216-46-1950,(07)-3949-8193,Lubbock (Texas),Single,Therese Peguero,1978-11-20
216-18-1038,(07)-9719-8507,Jacksonville (Florida),Divorced,Deana Bermudez,1972-09-17
287-74-1202,(07)-5854-8507,St. Louis (Missouri),Common-Law,Contessa Beamon,1977-01-21
287-55-1259,(07)-9333-5075,Oklahoma City (Oklahoma),Married,Shaina Dixon,1969-06-03
425-25-1563,(03)-3433-3262,Greensboro (North Carolina),Divorced,Whitney Felten,1975-02-04
216-60-1405,(03)-3949-5965,Oklahoma City (Oklahoma),Single,Benito Thurman,1981-03-31
368-34-1545,(09)-8685-5019,Anchorage (Alaska),Single,Dovie Pritchett,1988-08-02
408-34-1022,(08)-5125-5202,Kansas City (Missouri),Married,Marcella Fenton,1983-10-07
224-82-1822,(03)-6865-4870,North Las Vegas (Nevada),Divorced,Neal Lacey,1984-06-13
301-25-1006,(08)-9719-7370,Nashville (Tennessee),Married,Amber Engstrom,1986-07-03
408-44-1809,(09)-3339-7818,Sacramento (California),Common-Law,Cindy Blizzard,1975-06-04
429-23-1341,(07)-9292-6898,Richmond (Virginia),Common-Law,Beth Trott,1990-07-28
429-83-1193,(03)-3460-5388,Los Angeles (California),Single,Darci Steiner,1976-07-24
339-18-1332,(08)-3949-3563,Sacramento (California),Married,Velma Robison,1972-12-01
320-23-1747,(05)-5854-5560,Bakersfield (California),Divorced,Donovan Page,1988-08-27
381-30-1647,(09)-9999-2714,Jersey City (New Jersey),Divorced,Lyndsey Doughty,1974-11-02
320-60-1872,(04)-7703-5388,Portland (Oregon),Married,Abel Thompson,1970-12-27
144-54-1985,(08)-8288-7286,Winston–Salem (North Carolina),Single,Giuseppe Gilstrap,1970-10-24
323-82-1615,(08)-5794-5686,Anaheim (California),Married,Ray Feliciano,1974-07-22
339-60-1288,(03)-5580-1247,Charlotte (North Carolina),Common-Law,Patricia Pompey,1977-01-01
339-44-1924,(07)-5580-8942,Atlanta (Georgia),Married,Miriam Mcmartin,1970-10-23
391-55-1463,(08)-9999-5801,Washington (District of Columbia),Single,Bethany Paulin,1982-06-04
381-60-1500,(03)-2298-4634,Kansas City (Missouri),Married,Lucile Cuthbert,1974-07-19
391-99-1620,(05)-5592-8507,Mesa (Arizona),Married,Sophie Twitty,1983-09-10
166-99-1171,(07)-9854-7352,Milwaukee (Wisconsin),Married,Deirdre Heideman,1983-03-14
425-18-1506,(08)-1350-9910,Albuquerque (New Mexico),Divorced,Antoinette Hayton,1969-09-06
166-74-1012,(08)-3320-1423,Richmond (Virginia),Common-Law,Richard Kwon,1989-09-22
323-34-1083,(09)-9854-8640,Norfolk (Virginia),Single,Frances Pimentel,1977-12-15
429-44-1688,(07)-5050-8567,Nashville (Tennessee),Divorced,Erick Wells,1974-11-22
425-46-1688,(07)-5502-2714,Philadelphia[8] (Pennsylvania),Divorced,Nina Voris,1981-07-09
216-85-1483,(09)-9235-5326,Newark (New Jersey),Single,Gustavo Girard,1988-03-27
279-23-1635,(03)-9292-8405,Austin (Texas),Common-Law,Nicholas Alsup,1975-04-08
238-30-1727,(05)-6191-3563,Louisville (Kentucky),Married,Shelby Barra,1973-12-14
224-25-1655,(09)-6865-7434,San Diego (California),Divorced,Derrick Hampton,1981-10-28
391-60-1374,(03)-7905-4983,Tucson (Arizona),Common-Law,Nakesha Carrero,1982-09-18
320-82-1629,(08)-3339-9511,Los Angeles (California),Single,Lea Mccarthy,1985-05-13
429-25-1199,(04)-3460-7887,Washington (District of Columbia),Single,Lidia Myles,1976-06-29
116-30-1469,(07)-5580-7414,Nashville (Tennessee),Single,Callie Greene,1975-04-06
408-25-1289,(09)-8288-4634,New York (New York),Single,Debbra Daggett,1971-10-02
238-83-1602,(07)-5502-7456,Wichita (Kansas),Common-Law,Garry Jarboe,1982-06-07
429-82-1011,(07)-9854-7818,Glendale (Arizona),Divorced,Marianna Sun,1969-02-08
287-82-1727,(05)-6812-8968,San Bernardino (California),Married,Lionel Kelm,1970-04-28
