ccntype,ccn,validthru,key,pin,quota
Capital One,3608-2181-5030-1465,2023-05-27,4538,337,1400
USAA,3608-1395-4951-1668,2024-03-11,5101,240,1900
U.S. Bank,3608-1333-4394-1935,2020-03-08,4814,231,2000
Capital One,3608-1721-4951-1198,2019-05-30,3925,366,1600
PNC,3608-1782-5015-1001,2025-06-08,4241,048,1200
Capital One,3608-2181-4288-1394,2021-12-08,4253,556,1700
Wells Fargo,3608-2596-5634-1497,2018-07-15,5205,140,1200
USAA,3608-1395-5691-1428,2023-04-20,2111,512,1400
American Express,3608-2968-5745-1804,2025-12-01,5065,993,1000
American Express,3608-1333-4580-1185,2025-01-13,2377,277,1300
Discover,3608-1782-4458-1383,2018-07-19,4623,863,1500
Chase,3608-2181-5988-1718,2024-03-23,2987,452,1000
USAA,3608-2751-5015-1278,2024-04-25,2744,831,1700
U.S. Bank,3608-1333-4005-1623,2022-11-10,2117,373,1400
MasterCard,3608-2751-4236-1394,2022-07-22,7943,109,1200
MasterCard,3608-2588-5988-1551,2021-11-11,2172,945,1900
USAA,3608-2800-5459-1497,2024-04-02,7568,458,1400
Discover,3608-1395-5632-1976,2022-12-22,5884,272,1200
BarclayCard US,3608-2588-5394-1381,2020-12-24,5280,237,1200
American Express,3608-2596-5551-1572,2024-07-28,4107,438,1500
BarclayCard US,3608-2800-5551-1351,2020-09-30,4174,318,1700
Discover,3608-1682-4160-1476,2021-05-08,2135,864,2000
U.S. Bank,3608-1682-5152-1053,2024-04-27,7022,246,1100
U.S. Bank,3608-1782-5791-1558,2023-09-24,7502,188,2000
PNC,3608-1782-5030-1572,2024-07-31,6887,951,1700
MasterCard,3608-1192-5884-1614,2018-06-20,5594,800,2000
Bank of America,3608-2067-5766-1056,2025-09-30,2338,355,1200
BarclayCard US,3608-1782-4038-1052,2022-06-25,2130,117,1500
American Express,3608-1782-5890-1999,2021-11-10,3195,732,1600
Visa,3608-1782-5551-1837,2024-11-05,5357,255,2000
MasterCard,3608-1721-4236-1828,2018-05-15,3700,561,1800
U.S. Bank,3608-2596-5394-1054,2022-06-05,6787,233,1000
Discover,3608-2181-5724-1476,2022-09-18,3027,475,1000
MasterCard,3608-2181-4711-1693,2024-03-26,2739,733,1400
Bank of America,3608-1721-5632-1589,2025-02-08,6587,337,1500
Chase,3608-2067-5394-1306,2019-02-13,2544,222,1200
U.S. Bank,3608-2596-5696-1134,2024-05-22,7442,587,1900
USAA,3608-1721-4005-1322,2018-08-16,7241,201,1300
PNC,3608-1682-5634-1194,2020-11-08,4650,253,2000
Citibank,3608-2507-5988-1001,2025-01-06,3443,611,1400
MasterCard,3608-2800-5632-1014,2020-07-19,2121,125,1800
BarclayCard US,3608-2596-4264-1306,2023-04-12,2072,983,1400
Chase,3608-2588-4236-1129,2023-05-22,6754,530,1800
USAA,3608-2596-4445-1844,2024-02-25,7549,737,1000
Capital One,3608-2507-5750-1794,2021-07-21,4437,209,1900
American Express,3608-1333-4668-1344,2024-06-10,4154,411,1000
Wells Fargo,3608-2968-5638-1014,2018-06-07,6424,451,1800
U.S. Bank,3608-2751-4711-1593,2020-07-09,7878,833,1300
USAA,3608-2588-4005-1134,2024-05-20,2711,886,1400
USAA,3608-2800-4038-1217,2023-08-02,6882,595,1300
Citibank,3608-2751-5132-1794,2018-04-16,2800,627,1600
Discover,3608-1192-5458-1821,2024-08-14,4187,000,1500
MasterCard,3608-2596-5489-1056,2018-08-02,2565,928,1800
PNC,3608-2751-5015-1064,2023-09-04,5336,369,1000
Discover,3608-2800-5458-1068,2018-09-21,4905,082,1800
PNC,3608-1721-5983-1220,2021-12-08,2929,649,1900
PNC,3608-1333-5638-1383,2022-04-22,6984,782,1200
BarclayCard US,3608-2800-5696-1381,2019-08-31,5466,775,1900
Capital One,3608-1395-4394-1182,2018-11-15,2177,688,1900
Bank of America,3608-2800-4383-1637,2020-05-18,6205,661,1300
USAA,3608-1192-5750-1109,2023-04-29,6435,798,1800
Discover,3608-1395-5030-1892,2021-02-22,2668,852,1600
Wells Fargo,3608-2507-5890-1497,2025-02-14,4517,370,1400
USAA,3608-1192-5394-1292,2019-03-29,2476,906,1700
U.S. Bank,3608-2181-5756-1613,2021-01-06,7792,095,2000
PNC,3608-2067-5551-1916,2019-01-05,6138,142,1900
USAA,3608-2507-4329-1660,2020-07-31,3690,289,1300
Capital One,3608-2181-4383-1216,2022-04-08,5646,470,1000
U.S. Bank,3608-2751-5724-1980,2025-09-18,4378,084,2000
Wells Fargo,3608-1395-4394-1960,2024-10-25,2878,626,1200
Chase,3608-1682-5551-1055,2025-12-16,2289,855,1000
Capital One,3608-2067-4394-1068,2021-08-21,5881,577,1200
PNC,3608-2751-5489-1220,2021-06-05,3216,453,1800
